sequence_id,district,forecast_origin,wsi_at_origin,residual_t1,residual_t2,residual_t3,split
558,Dharashiv,2009-03-01,-0.3509586538429198,0.16513367847155902,0.15571788803290698,0.5792452628965316,train
559,Dharashiv,2009-04-01,-0.1858249703165662,-0.009415795493446621,0.41411157937017795,0.032703439306892124,train
560,Dharashiv,2009-05-01,-0.1952407633474167,0.42352737240102845,0.04211923233774262,0.38971604160574036,train
561,Dharashiv,2009-06-01,0.2282866123605817,-0.38140814337025575,-0.033811334102258034,-0.3407835695434659,train
562,Dharashiv,2009-07-01,-0.1531215337959306,0.3475968120542543,0.04062457661304639,-0.22221871931876971,train
563,Dharashiv,2009-08-01,0.1944752718526518,-0.306972229035536,-0.5698155249673521,-0.8136811639386808,train
564,Dharashiv,2009-09-01,-0.1124969535966743,-0.262843299518026,-0.5067089384893547,-0.4260395950178276,train
565,Dharashiv,2009-10-01,-0.3753402558016399,-0.24386563628438918,-0.16319629281286208,-0.5620055469823262,train
566,Dharashiv,2009-11-01,-0.6192058737445404,0.08066932513003844,-0.3181399290394257,0.05783138825183409,train
567,Dharashiv,2009-12-01,-0.5385365565634607,-0.3988092462205054,-0.022837928929245632,-0.021551362671768826,train
568,Dharashiv,2010-01-01,-0.9373457765743082,0.3759712910816019,0.3772578573390787,0.5921491420432871,train
569,Dharashiv,2010-02-01,-0.5613744759621956,0.0012865567269660927,0.21617784143117447,0.260538449293647,train
570,Dharashiv,2010-03-01,-0.5600879262472818,0.21489129171626065,0.2592518995787332,0.11442089782015774,train
571,Dharashiv,2010-04-01,-0.3451966219691911,0.044360595300642514,-0.10047040645793293,-0.9957842654438338,train
572,Dharashiv,2010-05-01,-0.3008360216510143,-0.14483100677610972,-1.0401448657620107,-0.823188131104723,train
573,Dharashiv,2010-06-01,-0.4456670305333068,-0.8953138568797181,-0.6783571222224305,-0.9234377124705384,train
574,Dharashiv,2010-07-01,-1.3409808321071963,0.21695667935145901,-0.028123910896648896,0.008646432883868682,train
575,Dharashiv,2010-08-01,-1.1240241645985556,-0.24508057840528963,-0.20831023462477205,-0.28047584303083894,train
576,Dharashiv,2010-09-01,-1.36910471657288,0.036770317349552384,-0.03539529105651451,0.19766995647919106,train
577,Dharashiv,2010-10-01,-1.3323344551012946,-0.07216555252809997,0.1608996950076056,0.024619039146704713,train
578,Dharashiv,2010-11-01,-1.4045000129704892,0.23306525287680024,0.09678459701589937,0.08614540634207124,train
579,Dharashiv,2010-12-01,-1.1714347439634205,-0.13628067199116933,-0.14691986266499746,0.5554916101323963,train
580,Dharashiv,2011-01-01,-1.3077153632477725,-0.01063924338064548,0.6917722294167483,0.0756090352372134,train
581,Dharashiv,2011-02-01,-1.3183545535220291,0.702411419691005,0.08624822551147004,0.7379987900866654,train
582,Dharashiv,2011-03-01,-0.615943146002132,-0.6161631820084271,0.03558738256676819,0.2649964215873065,train
583,Dharashiv,2011-04-01,-1.232106355839752,0.6517505924043883,0.8811596314249266,0.6484043280420531,train
584,Dharashiv,2011-05-01,-0.5803557369363066,0.22940901252148116,-0.003346290861392376,-0.554913666521335,train
