stream,district,date,value,clim_median,robust_z,temporal_diff,lower_iqr,upper_iqr,classification
CHIRPS,Beed,1990-08,339.631,175.0006,2.95,221.1767,26.5964,324.3453,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1990-12,18.087,5.9013,3.92,11.8168,-3.974,16.8284,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1991-04,30.7941,3.6454,5.02,16.4633,-19.5802,34.8455,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1993-12,55.3186,5.9013,15.88,48.0771,-3.974,16.8284,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1994-01,1.6228,0.8751,4.6,26.5079,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1994-02,0.9429,0.671,4.11,0.1085,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1995-01,1.8893,0.8751,6.24,0.5669,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1995-02,1.1099,0.671,6.64,5.2529,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1995-03,10.8363,0.4733,15.86,8.9407,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1997-11,129.1633,11.0638,12.74,58.3406,-26.4613,59.9133,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1997-12,77.8908,5.9013,23.13,12.5442,-3.974,16.8284,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1998-01,1.53,0.8751,4.03,37.7354,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1999-02,4.3041,0.671,54.96,3.9011,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,1999-05,114.5965,14.8908,5.6,23.4971,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2000-05,100.6103,14.8908,4.82,2.1641,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2001-01,1.9661,0.8751,6.71,1.4745,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2002-02,1.6767,0.671,15.22,0.7089,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2002-04,23.791,3.6454,3.73,16.1203,-19.5802,34.8455,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2003-01,10.4289,0.8751,58.74,7.0382,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2003-02,1.1553,0.671,7.33,4.4746,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2004-05,69.173,14.8908,3.05,11.1432,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2005-03,6.217,0.4733,8.79,12.978,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2005-04,37.7313,3.6454,6.31,25.9214,-19.5802,34.8455,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2006-03,7.5254,0.4733,10.8,7.2117,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2006-05,81.9222,14.8908,3.77,4.105,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2008-03,38.2447,0.4733,57.82,32.2787,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2009-03,6.6481,0.4733,9.45,6.1974,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2009-11,81.5351,11.0638,7.6,36.3266,-26.4613,59.9133,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2010-01,1.8501,0.8751,5.99,0.4493,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2010-03,5.0003,0.4733,6.93,2.6463,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2010-11,55.0433,11.0638,4.74,2.7294,-26.4613,59.9133,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2012-02,1.0328,0.671,5.47,0.6239,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2014-02,1.5133,0.671,12.74,7.6923,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2014-03,17.064,0.4733,25.4,4.4007,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2014-04,23.8133,3.6454,3.73,10.8267,-19.5802,34.8455,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2014-11,71.0919,11.0638,6.48,55.3708,-26.4613,59.9133,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2015-02,1.6466,0.671,14.76,6.5436,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2015-03,15.4823,0.4733,22.98,10.0461,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2016-02,6.671,0.671,90.77,2.998,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2016-03,6.4246,0.4733,9.11,2.6807,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2018-02,16.9531,0.671,246.32,16.0725,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2020-03,5.1687,0.4733,7.19,3.1283,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2021-05,71.4024,14.8908,3.18,36.4249,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2023-01,1.4764,0.8751,3.7,6.1276,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2023-03,10.512,0.4733,15.37,15.6986,-7.5885,12.7556,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2023-04,51.7766,3.6454,8.91,45.8316,-19.5802,34.8455,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2024-01,1.4934,0.8751,3.8,4.1735,-0.2289,2.4479,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2024-02,2.5209,0.671,27.99,1.4443,0.0704,1.589,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2024-04,28.7575,3.6454,4.65,23.7272,-19.5802,34.8455,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2025-05,318.2659,14.8908,17.05,275.2147,-35.6329,68.5188,Statistical Outlier / Seasonal Extreme
CHIRPS,Beed,2026-04,32.0007,3.6454,5.25,23.6524,-19.5802,34.8455,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1981-01,21.2909,1.9777,45.33,,-0.2415,4.9808,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1981-03,7.2098,0.1758,28.0,6.6561,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1981-12,15.9048,3.6045,14.26,3.5807,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1982-01,13.3271,1.9777,26.64,4.829,-0.2415,4.9808,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1982-11,104.3011,8.5443,18.36,94.1888,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1984-01,5.361,1.9777,7.94,1.4331,-0.2415,4.9808,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1985-02,3.7971,0.9223,13.22,1.8653,-0.131,2.3169,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1985-03,1.3443,0.1758,4.65,0.5543,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1986-04,7.6941,0.2832,17.65,3.8924,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1986-12,9.4478,3.6045,6.78,3.9464,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1987-11,43.0948,8.5443,6.63,10.7989,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1987-12,12.4508,3.6045,10.26,9.9662,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1988-03,5.7729,0.1758,22.28,3.613,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1988-04,3.97,0.2832,8.78,0.7767,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1988-07,356.2336,190.528,2.68,120.8935,41.8115,346.5357,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1988-09,415.6785,151.0764,2.78,180.1202,-85.1688,406.2004,Extreme Monsoon Precipitation Event (Legitimate hydrometeorological peak)
CHIRPS,Chhatrapati Sambhajinagar,1989-01,5.8225,1.9777,9.02,3.8554,-0.2415,4.9808,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1989-03,1.3319,0.1758,4.6,0.934,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1990-05,126.1624,6.5935,17.97,33.1549,-18.4345,38.1964,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1990-12,9.0653,3.6045,6.33,5.0339,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1991-04,3.93,0.2832,8.68,2.7463,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1993-12,37.7293,3.6045,39.57,32.6406,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1994-05,31.6948,6.5935,3.77,39.0134,-18.4345,38.1964,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1995-01,5.0652,1.9777,7.25,1.8731,-0.2415,4.9808,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1995-03,1.6852,0.1758,6.01,0.4142,-5.5096,9.2021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1997-11,99.954,8.5443,17.53,35.1699,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1997-12,90.2636,3.6045,100.48,39.5144,-5.7516,17.9554,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1998-11,50.3205,8.5443,8.01,9.4738,-17.247,44.8021,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1999-02,9.6431,0.9223,40.09,8.7581,-0.131,2.3169,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,1999-05,67.7638,6.5935,9.19,46.1889,-18.4345,38.1964,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2000-05,99.3909,6.5935,13.95,1.1478,-18.4345,38.1964,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2002-02,2.5884,0.9223,7.66,1.2591,-0.131,2.3169,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2002-04,14.7156,0.2832,34.37,11.3858,-5.8843,9.8071,Statistical Outlier / Seasonal Extreme
CHIRPS,Chhatrapati Sambhajinagar,2002-07,20.9008,190.528,2.74,184.182,41.8115,346.5357,Statistical Outlier / Seasonal Extreme
