district,date,year,month,split,spi_stress_z,soil_stress_z,ndvi_stress_z,lst_stress_z,groundwater_stress_z,surface_water_stress_z,groundwater_stale_flag,months_since_last_gw_obs,ndvi_imputed,lst_imputed,wsi,wsi_category
Beed,2004-12-01,2004,12,train,1.0225593002373856,0.9033167524486388,-0.2670135064437204,0.17315290058473054,0.5857077856522643,1.4657030977641277,0,2,0,0,0.6472377217072377,Moderate Stress
Beed,2005-01-01,2005,1,train,0.0326507766795537,0.7910331539228261,0.16414371757353408,-0.049719012643739215,1.150294833095207,1.33814565144594,0,0,0,0,0.5710915200122203,Moderate Stress
Beed,2005-02-01,2005,2,train,0.9067115980968417,0.7086807349224662,0.3023789003445014,0.7284240895588406,1.150294833095207,0.9744077748259089,0,1,0,0,0.7951496551406275,Moderate Stress
Beed,2005-03-01,2005,3,train,-0.32161893502655686,0.757138124787646,0.4522192692170593,1.0605229121676958,0.9254054948194904,0.7541045570101629,0,0,0,0,0.6046285704959162,Moderate Stress
Beed,2005-04-01,2005,4,train,-2.1061203017272754,0.6615746868624978,0.3399725676701371,-0.23520648021978702,0.9254054948194904,0.13346707875718145,0,1,0,0,-0.04681782563962594,Normal
Beed,2005-05-01,2005,5,train,-0.9333118905030061,0.5979274298556719,0.34896020818647044,1.4979103562096256,0.8675510804682799,-0.7094395550362524,0,0,0,0,0.27826627153013156,Normal
Beed,2005-06-01,2005,6,train,1.3666364777605238,0.9730685868013559,0.8694575186106338,0.272901163226949,0.8675510804682799,-0.8612146750894352,0,1,0,0,0.5814000252963845,Moderate Stress
Beed,2005-07-01,2005,7,train,-0.8780102608727761,0.8221767819646635,2.189078205264278,0.07588244198838365,0.8675510804682799,-1.0758604047835847,0,2,0,0,0.3334696406715407,Normal
Beed,2005-08-01,2005,8,train,-0.6531130585231306,-0.23351737064929842,1.5346003642898114,0.8051635837902276,0.8675510804682799,-1.1656040830021361,0,3,0,0,0.1925134193956256,Normal
Beed,2005-09-01,2005,9,train,-1.56959943897589,0.2812125772892443,0.8923255975223449,0.6848088747457979,0.2633438893451301,-1.3396782161251186,0,0,0,0,-0.13126445269974857,Normal
Beed,2005-10-01,2005,10,train,-1.080420126332032,0.16238646736891715,-0.39131964846318446,-0.14405510142649292,-0.2584714120794082,-1.3345171371283968,0,0,0,0,-0.5077328263434329,Wet
Beed,2005-11-01,2005,11,train,-1.1966278898674263,0.10954338694795109,0.11850483712473345,0.34088944638870483,-0.2584714120794082,-1.1620543637837801,0,1,0,0,-0.34136933254487084,Normal
Beed,2005-12-01,2005,12,train,-1.3294264659172113,0.24687290169035697,0.6577343635702942,0.025848574636107707,-0.2584714120794082,-0.9785799753278385,0,2,0,0,-0.2726703355712832,Normal
Beed,2006-01-01,2006,1,train,1.0664657769435903,0.18618538355591716,-0.10234456713705738,0.3292004316935943,-1.1458725847349422,-1.0124697474879845,0,0,0,0,-0.11313921786114704,Normal
Beed,2006-02-01,2006,2,train,0.34606962408817066,0.20878517168739127,-0.08015285990619729,0.5278424986593587,-1.1458725847349422,-0.6390991699923961,0,1,0,0,-0.13040455336643583,Normal
Beed,2006-03-01,2006,3,train,-0.5068541368723994,0.11386543181593524,-0.08029402081647023,-1.0189358640263058,-0.8642544043716551,-0.2919003846916294,0,0,0,0,-0.4413955631604207,Normal
